commonName,log2relT
DOT5,-0.0359862
SNL1,-0.0564798
VID28,0.0787541
CKA1,0.0508
CST6,0.6354083
NOT3,0.5178325
APQ12,0.2020018
VHR1,0.0573939
PCI8,0.0211388
HOP1,0.1152381
SPO22,0.02
AIR1,0.1086667
SDS3,0.2131161
PRK1,0.016
XBP1,0.1331941
HOS4,-0.0276279
SDP1,-0.035
PRM5,-0.02173
RPI1,0.0426443
POG1,0.2078199
SIM1,0.0729971
RRT14,0.0365779
MET18,0.8288298
ASG1,-0.0591268
FKH1,0.0072358
CSM2,0.0384685
MLP2,0.0278342
RRD1,-0.0700487
UBP7,-0.0268833
SGN1,-0.0267487
MPH1,-0.0393471
IST3,0.3379171
MSL1,0.0395306
GAT4,-0.0178384
MET28,0.083331
YAP5,-0.0682366
DAL81,0.0920858
MND2,-0.0249176
YVH1,0.937
MGA2,0.6199329
MAD3,0.0591853
YJL043W,0.0271319
UBX6,-0.0605415
YJL049W,0.1395658
ZAP1,0.403199
IKS1,0.0185
BIT61,0.1164017
DLS1,0.0638047
SCP160,-0.1006215
SIP4,-0.0836277
BCK1,-0.0117
SAP185,-0.049
GSM1,-0.0157565
SET4,-0.1122459
IME2,-0.0185
GZF3,-0.0689946
ASF1,0.4084571
LSM1,0.2705919
PBS2,0.0049
YAK1,-0.0153
DAS1,-0.0353743
FAR1,0.03
TPK1,0.0236
HAL5,-0.0325
SWI3,0.346864
SWE1,0.0021
UBP12,0.0045014
YJL206C,0.1008278
PEX2,-0.01543
TMA22,0.1224468
YJR030C,0.132055
GEA1,-0.0097022
HUL4,0.0183785
POL32,0.0002735
ISY1,0.1148753
PTK2,0.0054
CBF1,0.6167476
RPA12,0.4094205
TOR1,0.044
HAM1,-0.0565741
OPI3,1.969787
EAF6,0.148267
CSN12,-0.0048988
GRR1,0.91
JSN1,-0.0047611
IME1,0.0834473
YJR096W,0.0141139
YUH1,0.0369942
JHD2,-0.0251659
RSF2,0.0330876
MCM22,-0.0294724
HIR3,-0.0137863
DID4,0.6641327
BYE1,0.0052661
MRT4,0.4732275
UFD4,-0.03
PUT3,-0.1526926
HCS1,0.031551
SPT23,-0.0110109
PAN3,0.006
YKL027W,0.0092185
MAE1,-0.0306445
IXR1,0.0519704
TUL1,0.0337206
RGT1,-0.0236126
PHD1,0.0438576
ELM1,0.2167
NUP120,0.3251155
MSN4,-0.0372329
YNK1,0.0673994
NUP100,0.0236901
STB6,-0.0148419
MUD2,0.1979902
SRX1,0.0901204
CUE2,-0.0050356
YKL091C,-0.0448618
HSL1,-0.0099
HAP4,0.0780025
KTI12,0.2349291
RAD27,0.2110823
APN1,0.0156218
PRR1,0.0269
YPK1,0.3925
SHE2,-0.0290508
CTK1,1.0642
LTV1,0.7048824
DBR1,0.1489168
ELF1,0.1108041
TPK3,0.0697
KKQ8,-0.0023
ASH1,0.0828514
CNB1,0.166
PTK1,-0.004
LOS1,0.0739192
ADD66,0.0099497
SAC1,0.2526744
DOA1,0.1520031
YRA2,0.0425174
YKL222C,0.0017881
VPS1,0.0366815
ALY1,-0.0096502
YKR023W,-0.1075617
SAP190,0.061
SET3,0.0971332
DAL80,0.02
CAF4,0.12
GAP1,0.02
DYN1,0.1831263
UTP30,0.0425078
OAF3,0.0501988
GPT2,-0.0545225
SIS2,0.4182853
NUP133,0.6470879
SRL3,-0.1099628
MLP1,0.0819416
UBP11,0.0044322
SIR1,0.0330305
RTT109,0.4338901
PSR1,-0.0551
PUF3,0.0487115
KNS1,-0.0472
HIF1,0.0048658
YLL032C,-0.0117839
UBI4,0
VPS13,0.0608289
ATG10,-0.0198996
RNP1,-0.0027723
YBT1,-0.0077546
YLL054C,0.0211689
SSK1,-0.0039184
GAT3,0.0391154
PPR1,0.1508821
BRE2,0.1602098
PML1,0.0780518
POM34,0.1220919
PSR2,-0.037
SNF7,0.1435441
MLH2,0.0714133
RIC1,0.2609267
TRX1,0.0196443
IES3,0.5328293
SPT8,0.0646934
REX2,0.0465613
BUD20,0.3277111
ARP6,0.0201541
GIS3,0.0835234
IOC2,0.054
KIN2,0.0378
HRT3,0.0634791
CHA4,0.0182464
APC9,-0.0049492
REX3,-0.0099254
HOG1,0.0548
SRN2,0.1078033
YPS1,0.0050947
DCN1,-0.0048988
ACE2,-0.0193063
CKI1,-0.0278
SLX4,-0.0494862
PUT1,-0.0317219
YLR143W,0.0849384
PEP3,0.2696071
STM1,0.152001
RNH203,0.09
RFX1,-0.170875
SAM1,-0.0160292
SWI6,0.6155671
TOS4,0.0390668
HCR1,0.5013478
PBA1,0.049753
CLB4,-0.0324256
CPR6,0.0899166
MSC3,0.0277934
RSA3,0.085542
YLR224W,-0.0329504
BUR2,0.7617017
ECM22,-0.019719
EST1,0.1441603
TOP3,0.2557256
IRC20,0.0046464
RCK2,0.0612
YLR253W,0.0514
HAP1,-0.029491
LCB5,0.0931
YPT6,0.2377915
RED1,-0.0494522
NEJ1,-0.1967191
PDR8,-0.0063819
DCS1,0.1197392
YLR271W,0.1293995
PIG1,0.0324215
YLR278C,-0.0133578
MEC3,0.2338137
YLR296W,-0.0938019
ACO1,1.41052
UBC12,0.0429263
IMH1,-0.0465954
NKP2,0.4266924
EST2,-0.0636181
BUD6,0.0588933
MMS22,0.3928754
NUP2,0.0850206
YLR352W,0.0906026
RSC2,0.7511498
DCR2,0.015
STE11,-0.0414
NMD4,-0.0212949
MDM30,0.1459404
STP3,0.1652621
CTF3,0.0871426
