orf,SC,SM,YPD
YBR022W,1.013626349,0.962991396,1.017682679
YBR023C,0.884071867,0.888535622,0.979819246
YBR024W,0.952441792,0.977176719,0.986022405
YBR025C,0.788127783,0.829126527,0.885428425
YBR026C,0.359655294,0.339725527,0.731889943
YBR027C,0.955130638,0.968277488,1.020230216
YBR028C,0.951326992,0.951246389,0.962328063
YBR030W,0.970905085,1.000350506,0.992394143
YBR031W,0.839333511,0.882071911,0.73762694
YBR032W,1.076777739,1.053599111,0.993031616
YBR033W,1.024174625,1.036613061,1.014931873
YBR034C,0.774055237,0.752350128,0.966902845
YBR035C,0.296122332,0.545945752,0.545453604
YBR036C,0.817237546,0.735126721,0.95489904
YBR037C,0.927244695,0.861895592,1.046316812
YBR040W,1.02436571,0.952797334,0.970296195
YBR041W,0.883332124,0.916040084,0.969200089
YBR042C,0.929766587,0.942099069,0.94684036
YBR043C,0.971390445,0.938860013,1.00483414
YBR044C,1.010995287,0.937913097,0.958580415
YBR045C,1.046197212,1.010991731,1.013377418
YBR046C,1.079720249,1.018809195,1.007679601
YBR047W,0.975258109,0.976263422,0.993139052
YBR048W,0.59843595,0.601180065,0.519940683
YBR050C,1.024117704,0.985528037,1.036188191
YBR051W,1.008287635,1.008113574,1.026432678
YBR052C,1.00915506,1.003003489,1.010921044
YBR053C,1.024795867,1.022873636,1.009403376
YBR054W,1.031400882,1.013234664,1.036875605
YBR056W,0.979855461,0.965209497,0.990106338
YBR056W-A,0.983365294,0.931597425,0.990038955
YBR057C,0.960687269,0.952494442,1.006731509
YBR058C,0.752033646,0.812441078,0.922751438
YBR059C,1.054464267,1.031950649,1.034089614
YBR061C,0.862660829,0.893425016,0.717809701
YBR062C,1.001948187,0.995519738,0.989976623
YBR063C,1.044251733,1.002677409,0.984016545
YBR064W,1.015468241,1.015277131,0.969047999
YBR065C,1.025823284,1.030524502,0.978545838
YBR066C,1.065043018,0.997059258,1.038394381
YBR067C,0.991998146,0.98739123,0.963632661
YBR068C,1.013123276,0.965385864,0.983974501
YBR069C,0.749010245,0.764343929,0.752402849
YBR071W,1.015536493,1.005538764,1.029689854
YBR072C-A,1.006255424,0.989877427,1.001051232
YBR072W,1.001017162,1.019152242,1.032454073
YBR073W,1.022963244,0.99579144,1.055679418
YBR074W,1.039317439,0.998242957,1.041293151
YBR075W,0.985871801,0.96417544,1.01691964
YBR076W,1.055777412,1.050384948,1.047953416
YBR077C,0.907910711,0.861981188,0.80827692
YBR078W,0.902575276,0.86471553,1.218006755
YBR082C,0.72496772,0.761532458,0.928527749
YBR083W,1.034843373,0.995165685,1.025158753
YBR084C-A,0.636508352,0.665257132,0.681687677
YBR084W,1.000326686,0.934634885,0.97092608
YBR085C-A,0.79181872,0.723238865,0.938591882
YBR085W,1.030379174,0.947834459,0.94652044
YBR090C,1.019611963,1.031910936,1.096935285
YBR090C-A,0.991889987,1.000854746,1.031053311
YBR092C,0.998126622,0.970701835,1.00923123
YBR093C,0.906301347,0.871436595,0.937901019
YBR094W,0.922324271,0.909412658,0.954125493
YBR095C,1.079849435,1.011661273,0.811896324
YBR098W,0.913427611,0.904394285,0.930385515
YBR099C,0.92006283,0.902552178,0.973606193
YBR100W,0.954420981,0.961495382,1.029528465
YBR103W,0.890678816,0.916032052,0.937778603
YBR104W,0.976891559,0.983182578,0.993345487
YBR105C,1.01756518,0.974389284,0.963894223
YBR106W,0.8690405,0.785863506,0.853005937
YBR107C,0.851187417,0.817065126,0.93314028
YBR108W,0.977372688,0.958784637,1.004086009
YBR111C,1.003104391,0.94369532,1.044462181
YBR111W-A,0.681970895,0.598755435,0.642039561
YBR113W,0.986528171,0.977638439,1.008541595
YBR114W,0.925898392,0.955144068,1.039182245
YBR116C,0.997033956,1.007857056,0.984097651
YBR119W,1.058668394,1.031425845,1.014299673
YBR120C,1.064717461,1.022614375,1.000919577
YBR121C,0.930977065,0.930627842,0.931145137
YBR122C,0.804977376,0.548062469,0.660498036
YBR125C,1.000186637,1.021550455,1.025097187
YBR126C,1.050536983,1.018463877,0.956043338
YBR128C,0.935194832,0.968889319,0.972764686
YBR129C,0.832316674,0.891290565,0.962976205
YBR130C,0.984769325,0.966677589,0.966644357
YBR131W,0.846639179,0.760865488,0.968449783
YBR132C,0.743005583,0.404894827,0.59409449
YBR133C,0.942203166,0.89748003,0.915444291
YBR134W,0.905917422,1.006981009,1.013660655
YBR137W,0.995707078,0.963597359,1.006683875
YBR138C,1.028131498,0.975439283,1.01923526
YBR139W,0.784564256,0.84022737,1.107876312
YBR141C,0.926249686,0.955686569,0.940625915
YBR144C,0.93948026,0.980532585,0.941613681
YBR145W,1.027430296,1.011539626,0.981039749
YBR146W,0.949773528,0.917427918,0.970735309
YBR147W,0.645233584,0.524210736,0.956950646
YBR148W,1.01301321,0.994889546,0.996663785
YBR149W,1.018624219,1.052746285,1.006799486
YBR150C,1.011408059,1.007686774,0.953057466
YBR151W,0.968356456,0.995387034,1.025587704
YBR156C,1.032787317,0.979492398,0.968509739
YBR157C,1.002002596,0.996407121,0.989337995
YBR158W,0.981232131,0.923570347,0.971040447
YBR159W,1.054506748,1.024793985,1.014644843
YBR161W,0.967204907,0.933324597,0.955991554
YBR162C,0.935092162,0.981838346,0.981590547
YBR162W-A,0.935362804,0.966648679,0.987032461
YBR164C,1.034359437,0.988484926,0.938050236
YBR165W,0.966537463,1.015298307,0.986460154
YBR166C,1.040262668,1.077527239,0.988446986
YBR168W,0.917137923,0.913414946,0.906320571
YBR169C,0.985191758,0.996912979,1.008287506
YBR170C,1.022600243,1.023499006,1.01581131
YBR171W,0.765240568,0.878768913,1.050799367
YBR172C,1.019288746,0.951034344,0.971566555
YBR173C,0.289586928,0.414521406,0.475652862
YBR174C,0.873245001,0.846904746,0.891047252
YBR175W,0.880424672,0.853395915,0.91500123
YBR176W,0.941557945,0.890706576,0.941993863
YBR177C,0.995254622,0.977210715,0.98030007
YBR178W,0.99199164,0.999059885,1.052551371
YBR179C,0.905924615,0.597475487,0.654202278
YBR180W,1.014296354,0.993114402,1.012286753
YBR181C,0.657668233,0.669424709,0.83446121
YBR182C,0.921695563,0.922432914,1.058163198
YBR182C-A,1.007713426,1.007326923,1.012280342
YBR183W,1.009239033,0.989640176,0.995787081
YBR184W,0.831447516,0.806826196,0.964505361
YBR185C,1.02760154,1.025558132,0.94572818
YBR186W,0.906009915,0.951004838,1.015445724
YBR187W,0.980112331,0.955376041,0.992389013
YBR188C,0.983429007,0.951390046,0.977241206
YBR189W,0.703487168,0.603462047,0.695976578
YBR194W,1.010518037,0.984579105,0.967891117
YBR195C,0.9677282,0.955510649,0.954036036
YBR196C-A,0.781937733,0.667666793,0.656843607
YBR196C-B,0.99165303,1.021891329,0.996931135
YBR197C,1.011040018,1.003483309,1.006538181
YBR199W,1.073956423,1.02217082,1.059265208
YBR200W,0.641320367,0.817109995,0.585483265
YBR200W-A,0.979520245,0.988242269,0.989330626
YBR201W,0.96330677,0.960771186,1.024097281
YBR203W,0.999754526,1.02589281,1.00471521
YBR204C,1.018268069,1.01240598,1.00087672
YBR205W,1.001032881,0.993055973,0.985792941
YBR206W,1.016178614,0.985722328,0.988857524
YBR207W,1.009470017,0.990706047,1.000542089
YBR208C,0.976377668,0.93093003,0.962990286
YBR210W,0.98010137,1.025795805,1.015107457
YBR212W,1.101453779,0.994172733,1.005918926
YBR214W,0.980706076,0.999538534,1.008137637
YBR215W,0.808978733,0.780384277,0.951031519
YBR216C,0.992275568,1.005652189,0.996088223
YBR217W,0.931848305,1.014583022,0.988985234
YBR218C,0.96366004,0.989456482,0.984495188
YBR219C,0.954778017,0.971549296,1.018272328
YBR220C,0.762178922,0.632491247,1.091060544
YBR221C,0.309162664,0.346398063,0.904080568
YBR221W-A,0.677873098,0.45659515,1.009615381
YBR222C,0.847600834,0.757904317,1.098247072
YBR223C,0.973391737,0.967022148,1.063411993
YBR224W,0.811054913,0.732851786,0.910662394
YBR225W,0.952807418,0.968474716,0.88933954
YBR226C,0.980408037,0.978600041,1.065950252
YBR227C,0.943116744,0.843174457,0.994196335
YBR228W,0.828887892,1.018998754,0.977727245
YBR229C,0.849559609,0.822428032,0.913787503
YBR230C,0.988963741,0.971417777,0.989131068
YBR231C,0.858039698,0.82484937,0.909190494
YBR232C,0.996350876,0.988505731,0.965404123
YBR233W,0.968201354,0.973212539,0.980601265
YBR235W,0.975427818,0.936595641,0.96664372
YBR238C,0.871057264,0.928720568,0.953213385
YBR239C,0.943118225,0.970863326,1.019307627
YBR240C,1.013365305,0.998481941,1.037107148
YBR241C,0.829690983,0.801307729,1.109338837
YBR242W,0.795970313,0.819877478,1.033069917
YBR244W,1.014761847,0.994688775,1.026484342
YBR245C,0.927604725,0.926143115,1.01940647
YBR246W,0.889988145,0.858189962,0.958568046
YBR249C,0.951015454,0.896497727,0.940931922
YBR250W,0.974300184,0.978008139,0.926053598
YBR255W,0.803009649,0.882768821,0.928028322
YBR258C,0.838797696,0.785891256,1.112625644
YBR259W,1.00346954,1.00472593,1.003244928
YBR260C,0.992210753,1.006534684,0.985668559
YBR261C,0.93536959,0.965668279,1.008434735
YBR262C,1.011670462,0.971812063,1.002206603
YBR263W,1.018637068,0.984015618,0.989095997
YBR264C,0.925634527,0.936732724,0.9355631
YBR266C,0.841678921,0.864304036,0.890154497
YBR267W,0.477412626,0.649566124,0.620797533
YBR268W,0.93847561,0.840600357,0.82678434
YBR269C,1.031458112,1.048506682,1.033038154
YBR270C,0.876585463,0.872620504,0.936202108
YBR271W,0.975434156,0.986823733,0.983655246
YBR272C,0.893159227,0.943690654,1.002296267
YBR274W,0.985795901,0.972283281,0.976298215
YBR275C,0.964461628,0.922372496,1.01419339
YBR276C,1.009839928,1.006375102,1.137217895
YBR277C,0.937856596,0.946415803,0.933581248
YBR278W,0.938384758,0.91780775,0.912557573
YBR279W,0.873961599,0.896288748,0.826736892
YBR280C,1.007054503,1.02072078,0.995591945
YBR282W,0.977910883,0.761698053,0.848703979
YBR283C,0.986893774,0.978160997,0.821334372
YBR284W,0.935792381,0.789654794,0.992832489
YBR285W,1.047610807,1.040195394,1.04304038
YBR286W,1.037239032,1.035099458,1.07941806
YBR287W,0.992083973,1.029369196,1.000013577
YBR288C,0.854038217,0.865819676,0.93186008
YBR289W,0.729668601,0.763499366,0.733329617
YBR290W,0.939533952,0.902484368,0.955070476
YBR291C,1.027016323,0.965091248,1.027858812
YBR292C,1.002373014,0.990355558,0.989436381
YBR293W,1.032108775,1.010027054,1.049244701
YBR295W,0.988296356,0.978359982,1.006856189
YBR296C,1.010338015,0.888992271,1.039753663
YBR296C-A,1.01062447,1.002375717,1.006191035
YBR297W,1.004755961,1.014684159,1.008832739
YBR298C,1.01853418,1.016514861,1.005492212
YBR299W,0.846614008,0.82344739,1.09647157
YBR300C,0.988956469,0.997006619,0.99832045
YBR301W,1.029504182,1.123277975,1.038555447
YCL001W,0.886779007,0.917748244,0.945411383
YCL001W-A,1.011326035,0.994477162,1.021227941
YCL001W-B,1.009532513,1.026142407,1.009173172
YCL002C,0.929761232,0.89259726,0.996992263
YCL005W,0.984035208,0.911805507,1.019192688
YCL006C,0.989776044,0.992988589,1.017323082
YCL008C,0.920791999,0.793944254,0.83795016
YCL009C,0.974121732,0.879087196,0.979893852
YCL010C,0.847420513,0.653413124,0.938718196
YCL011C,1.005808549,1.043056109,1.031044763
YCL012W,1.086084404,1.04748443,0.979173024
YCL013W,1.035687026,0.974021447,1.000451925
YCL014W,1.057935511,1.044190067,0.997590566
YCL016C,0.641730282,0.689607916,0.742843758
YCL021W-A,0.996365954,1.042570343,1.009409135
YCL022C,1.029025478,0.991081338,0.967676354
YCL023C,1.068310504,1.000574766,0.951069727
YCL024W,0.992667945,0.991812558,1.103486214
YCL025C,1.029962574,1.010815888,1.076151407
YCL026C,1.055609709,1.097325369,1.113511304
YCL026C-A,0.991385254,0.956062434,0.982653649
YCL026C-B,0.931107965,0.924399738,1.044088997
YCL027W,0.986228443,0.952316801,1.016343402
YCL028W,0.990803665,1.021401701,1.008382521
YCL029C,0.947898896,0.954289698,0.941078747
YCL032W,1.062012929,1.057575545,1.039956997
YCL033C,0.999927627,0.994262697,1.101967533
YCL034W,1.057568628,0.948917817,1.036549662
YCL035C,1.01221617,1.014024382,0.978773161
YCL036W,1.017187455,1.02138061,1.053058669
YCL037C,0.978097094,0.97572845,1.036126957
YCL038C,0.947758721,0.975525163,0.989767775
YCL039W,1.013003137,0.989767,0.965177373
YCL040W,1.066870204,0.970341231,1.007472381
YCL042W,0.971549028,1.005786175,1.016850482
YCL044C,1.054011057,1.040199175,0.932586822
YCL045C,0.918888618,0.935724982,0.975397899
YCL046W,1.004193352,0.997624127,1.056199994
YCL047C,1.029030269,0.990680474,1.003400162
YCL048W,1.021046907,1.001178414,1.002018145
YCL049C,1.056526118,0.993977809,1.002326354
YCL050C,0.972093588,0.974496938,1.072277015
YCL051W,1.01586787,0.988371446,1.036193032
YCL055W,0.864376782,0.81355976,1.010150668
YCL056C,1.018304888,1.040985625,1.084695367
YCL057C-A,0.944819101,0.890894353,0.940832694
YCL057W,0.93685034,1.01555529,1.02536417
YCL058C,0.603581962,0.594437328,0.602554613
YCL060C,0.776014258,0.751733524,0.687479398
YCL061C,0.900421847,0.840815379,0.798613012
YCL062W,0.861435094,0.853592301,0.869208858
YCL063W,0.908948208,0.91711638,0.98998174
YCL064C,1.017805356,1.028582914,0.968842739
YCL069W,0.98685436,0.985714655,1.047446994
YCL074W,0.963878659,0.970966803,1.000768982
YCL075W,1.001213683,1.015185224,1.014898748
YCL076W,0.999089937,0.978786753,1.058872572
YCR001W,0.9012123,0.887722437,0.969499623
YCR002C,0.917318832,0.811970521,0.924293287
YCR003W,0.929325106,0.827545268,0.791849592
YCR004C,0.98926801,0.947090811,0.992349612
YCR005C,1.036628345,0.924013005,1.014869513
YCR006C,1.032687543,0.927305197,1.033768398
YCR007C,1.028256261,0.967872645,0.989989896
YCR008W,0.86164823,0.696035362,0.948103006
YCR009C,0.651245991,0.656129471,1.062341254
YCR010C,1.002699071,0.992135018,1.009752814
YCR011C,0.973887648,0.942998634,1.034762896
YCR014C,0.983095371,1.017549701,1.094300437
YCR015C,0.970122544,0.995732318,1.008260068
YCR016W,0.794181486,0.792686575,0.927740259
YCR017C,0.948675156,1.032708505,1.050862197
YCR019W,1.015650136,1.042898762,1.105327825
YCR020C,1.045572097,1.025140802,0.984302898
YCR020C-A,1.013745968,0.905825516,1.010882458
YCR020W-B,0.304421145,0.386805789,0.705318281
YCR021C,0.977514382,0.986693668,1.010967066
YCR022C,0.983444858,0.969276622,1.001826156
YCR023C,1.013034721,1.036125786,1.002134252
YCR024C-A,0.930250952,0.971078741,0.997833578
YCR025C,0.974766547,0.926774785,1.003480572
YCR026C,0.919032701,0.802398215,0.975374752
YCR027C,0.992864717,1.006716894,0.999601634
YCR028C,0.296367707,0.595829481,0.894520707
YCR028C-A,0.599632446,0.396295864,0.416229998
YCR030C,0.98313571,0.976556678,1.020967133
YCR031C,0.764271125,0.745547398,0.731665641
YCR032W,0.959527656,0.976142588,0.97516016
YCR033W,0.952560428,0.978265886,0.989839233
YCR034W,0.547513726,0.619624067,0.614736882
YCR036W,1.00392301,0.971063198,0.99994129
YCR037C,0.817570176,0.619078501,0.675942306
YCR043C,0.993070664,0.99187299,1.088774349
YCR044C,0.88513282,0.859062669,0.77343801
YCR045C,0.955942713,0.991787718,0.987604387
YCR046C,0.973552405,0.808077132,0.839473689
YCR048W,1.008011753,0.988259277,1.03917638
YCR049C,0.929847533,1.001196946,1.03702503
YCR050C,0.953533904,0.949109288,1.008347966
YCR051W,0.877104767,0.906776525,0.896508628
YCR059C,0.978198525,0.984075497,1.034577939
YCR060W,0.973566697,0.97372548,0.953185918
YCR061W,1.009637935,0.999492626,1.029047473
YCR062W,0.8899449,0.889402903,0.936603467
YCR063W,0.472438952,0.417915842,0.529597099
YCR065W,0.847986383,0.857198113,0.97906775
YCR066W,0.967310643,0.988607146,0.987506925
YCR067C,1.013001467,1.017069995,0.987933486
YCR068W,0.914649617,0.985059152,0.984134175
YCR069W,1.01874971,0.98923079,1.059006019
YCR071C,0.928989539,0.723193579,0.792217761
YCR073C,0.981487267,0.99067426,1.003178254
YCR073W-A,0.948087406,0.951013912,1.004572731
YCR075C,1.003589019,0.995289541,1.155744263
YCR075W-A,0.967606056,0.966695491,0.97318692
YCR076C,1.002024808,1.028672491,1.029708941
YCR077C,0.973833037,0.983516386,0.987457304
YCR079W,0.954566979,0.957632451,1.031609927
YCR081W,0.742866368,0.769119199,0.821435832
YCR082W,1.028126728,1.032494759,1.031176149
YCR083W,1.013281601,1.01666856,1.042614412
YCR085W,0.99313474,0.995016048,0.976135126
YCR086W,0.720772541,0.854012502,0.852008952
YCR087C-A,0.905775736,0.886987591,0.954704256
YCR087W,0.958528345,0.948904381,0.99397765
YCR088W,0.912296754,0.976079023,0.995401798
YCR089W,1.012833574,0.997353107,1.017623829
YCR090C,1.011902718,0.975865732,0.978776007
YCR091W,0.978869223,1.02449053,1.085544154
YCR092C,1.032993249,0.978966329,0.989331166
YCR094W,0.676248641,0.698801259,0.813588749
YCR095C,0.922792039,0.84913972,0.915592945
YCR095W-A,1.022673877,0.936610866,0.994516883
YCR098C,1.045197948,1.010034848,1.042273531
YCR099C,1.021323288,1.004097982,0.908017304
YCR100C,1.028051172,1.003818855,0.987865914
YCR101C,0.989128062,0.987622571,0.978756268
YCR102C,1.010614357,0.98250094,1.076996798
YCR102W-A,1.029362139,1.026763676,1.090664614
YCR105W,0.995022339,1.001659582,1.071666349
YCR106W,0.956295201,0.967303707,0.932345845
YCR107W,0.963100704,0.988010423,1.016377512
YDL001W,0.933517329,0.964595889,1.008200526
YDL002C,0.591175349,0.687838525,0.87879338
YDL006W,0.597165536,0.5530717,0.655975176
YDL009C,0.948340095,0.951489529,0.986355263
YDL010W,0.944766484,0.958116622,0.976708991
YDL011C,0.972145377,0.985886237,0.968071517
YDL012C,1.02771131,1.007236299,1.010761371
YDL013W,0.840958158,0.917773203,0.854688602
YDL018C,0.970943496,1.026185844,1.005685197
YDL019C,1.019820044,1.009189407,1.000652824
YDL020C,0.671319436,0.664023706,0.823674906
YDL021W,1.077082349,0.927953862,1.095667503
YDL022W,1.043896727,0.971660326,1.023401076
YDL023C,1.029191194,0.931462382,0.998134338
YDL024C,0.940797981,0.940133879,0.978296422
YDL025C,1.051494419,1.015082378,1.073408405
YDL026W,0.981920032,0.971532301,0.980164224
YDL027C,1.051923211,1.029616336,1.0394014
YDL033C,0.97949872,0.857196987,0.981825539
YDL034W,1.066195696,1.129263194,0.982246475
YDL035C,1.018419127,1.018514245,0.996956017
YDL036C,0.924120987,0.941286756,0.97738072
YDL037C,0.972696068,0.984168966,1.003672011
YDL038C,0.952056417,0.950455513,0.980754923
YDL039C,1.000109947,0.971006783,0.971971634
YDL040C,0.809128637,0.619836763,0.653060019
YDL041W,0.977768328,0.988855225,0.859551943
YDL042C,1.049238169,1.006475989,0.866779304
YDL044C,0.938171535,0.76188981,0.815702528
YDL045W-A,0.93028386,0.937285941,1.11223702
YDL046W,0.940393313,0.965231393,0.98029805
YDL048C,1.022448887,1.007957274,1.041380733
YDL049C,0.938046939,0.754770585,0.802162469
YDL050C,1.034264301,1.019285653,1.011795636
YDL051W,1.094757407,1.0741225,1.030169713
YDL052C,0.834115404,0.839930083,0.906929492
