Accession,Gene,NH4,Gln,Phe,Ile
P06779,RAD7,44.79424629,44.54679843,68.84403013,67.37593416
P06780,RHO1,1685.786111,2435.179569,3358.764213,3227.378956
P06781,RHO2,7.010453758,8.989513453,11.68853443,10.99665199
P06782,SNF1,127.2782303,189.5323065,256.0377585,231.5067462
P06785,CDC21,137.0878657,189.2548279,252.6459698,240.8305185
P06786,TOP2,24.86782032,34.47011174,44.33438472,50.58882761
P06787,CMD1,558.4937224,2331.475072,1688.149094,1662.498776
P06839,RAD3,1.928394044,2.268429709,2.970702695,3.141761348
P06843,SPT2,17.37429317,19.03280398,29.89023644,28.61924717
P06844,SPT3,18.91866626,19.13082636,29.22323158,35.27459376
P07143,CYT1,81.57702971,188.0181288,216.9151119,305.1583549
P07149,FAS1,4255.809561,5754.422734,7206.39748,7288.150076
P07170,ADK1,8951.616405,10319.19325,13174.8167,24870.85164
P07172,HIS5,548.5403413,860.0392247,1014.520973,1543.004648
P07213,TOM70,555.2278117,788.9945325,1025.320978,1264.008735
P07236,MST1,22.28926821,27.04928959,36.13413975,33.46674311
P07244,"ADE5,7",887.5657194,1387.019675,1816.374431,2628.661739
P07245,ADE3,1128.578329,1484.332397,1836.962151,2805.187732
P07246,ADH3,14675.4082,18480.71433,22954.70726,33054.5123
P07248,ADR1,1.473848592,1.912669245,2.790115099,2.348667426
P07250,ARG82,1.995985925,2.370806697,0,2.820252489
P07251,ATP1,9462.731157,16513.74768,18994.61269,21534.11255
P07252,CBP1,0.427854673,0.54109627,0.743352691,0.709209646
P07253,CBP6,1105.023252,1652.449031,2177.168856,2268.599859
P07255,COX9,26093.30294,40058.24413,61230.90151,49056.6344
P07256,COR1,2741.932772,3646.019171,4245.007091,5444.613816
P07257,QCR2,10837.03114,17211.74614,23012.27656,22595.68405
P07258,CPA1,214.8656284,352.3167495,461.9728517,760.8752925
P07259,URA2,1076.05642,1638.750939,2023.237272,1876.32112
P07260,CDC33,68.97346428,107.019961,135.4081253,146.9647685
P07261,GCR1,2.206255899,3.075795279,4.054084097,3.947342133
P07262,GDH1,11034.11451,9951.981784,17233.82914,12660.08945
P07263,HTS1,96.13916935,159.4389537,196.2251341,219.196127
P07264,LEU1,1295.449655,1781.69902,2286.488465,2840.622005
P07267,PEP4,1057.140715,1309.030893,1934.029692,1645.596657
P07269,PHO2,6.44312319,7.110682298,11.00786777,11.54624533
P07271,PIF1,0.830114014,1.364775427,1.977634766,1.602071416
P07273,DST1,444.8830361,515.9593027,745.1927505,625.5934562
P07274,PFY1,3.470287286,4.791467534,6.353481495,6.9175563
P07275,PUT2,5839.297125,7253.89637,8707.855753,10909.51871
P07276,RAD2,0.996189044,1.383934615,1.825220338,1.483654836
P07277,ERG12,24.65502168,33.69250424,43.87830561,36.44033023
P07278,BCY1,350.063418,378.4877044,483.7969439,504.8325241
P07280,RPS19A,39792.03845,52493.25148,73566.38972,89510.44892
P07283,SEC53,1422.118853,1817.772106,2587.182757,2683.829694
P07284,SES1,426.4257478,529.5196301,674.6901637,884.1326535
P07285,TRP4,283.6302257,427.9839569,562.8717182,657.1368286
P07342,ILV2,2168.592271,3385.790855,4138.503951,7142.514999
P07347,ARD1,39.0565946,31.63972895,37.23725327,126.2897647
P07390,PET494,0.771321911,1.144351693,1.346842261,0.927852266
P07560,SEC4,675.5320148,1052.181108,1279.874618,1417.799956
P07702,LYS2,256.0945226,303.9402121,406.4672625,640.4602901
P07703,RPC40,44.18505477,72.50132069,84.24198674,118.3322225
P07806,VAS1,238.4975764,349.3128701,445.6642657,588.311418
P07884,MOD5,4.988880823,6.470189873,8.905173173,8.567301565
P08004,CHS1,7.107460894,10.6120175,12.95595312,26.26235627
P08018,PBS2,29.27067233,42.44878822,57.70119916,82.51331474
P08067,RIP1,297.8484915,701.3156111,981.3413091,1464.133024
P08417,FUM1,3781.19574,7920.396659,10281.87898,10486.93705
P08425,MSF1,12.30839301,20.38931933,27.45270268,28.24736818
P08432,SPE1,0.223491555,0.163867321,0.22729184,0.28652803
P08456,CHO1,173.6910636,321.2147567,410.7274749,339.1127783
P08465,MET2,95.05499471,130.4448152,161.7480884,178.9931025
P08466,NUC1,10.90993045,13.25133969,18.18074168,17.51555091
P08468,PET111,1.033939973,1.405973386,2.141020281,2.221514191
P08518,RPB2,58.27300958,78.64911522,101.3030937,122.647542
P08524,ERG20,7758.365203,15846.54628,19891.25188,22989.42947
P08536,MET3,1235.507461,1553.029689,2035.001311,2107.073025
P08539,GPA1,188.5098372,236.3999623,318.8821347,388.9102221
P08566,ARO1,352.4505827,468.8388588,608.63055,957.8543282
P08593,MSS18,6.36409476,10.70540033,13.75163238,8.323847036
P08638,LEU3,1.354007001,1.616770466,1.954349706,2.017028468
P08678,CYR1,15.11760628,18.86203916,24.71344091,28.01843094
P08679,CIT2,103.6599482,145.3105903,175.4015105,297.2132364
P09032,GCD1,32.34786259,44.7771218,56.72155555,66.64723328
P09064,SUI3,1503.534202,1841.188347,2739.818715,2644.396026
P09232,PRB1,5333.252373,4839.215427,7948.414381,6640.280553
P09368,PUT1,232.8800957,394.0657712,591.1798796,664.8519639
P09435,SSA3,1239.009416,2740.00322,2595.488372,6116.319115
P09436,ILS1,336.29331,450.5782305,609.9639508,708.1619861
